projectname,language,totalcommits,sloc,time,hour,filechangecount,duration,contributors,ageyear,contributor,total_file_num,fileabslog,filepro,fileprolog,commitlog,sloclog,durationlog,contrilog,dynamicstatic,strongweak
firehol-netdata,C,4466,37894,100014,27.78166667,1,122404850,107,3.935341114,107,99,0,0.01010101,-1.995635199,3.649918719,4.578570451,0.594982383,2.029383778,static,weak
Flipboard-FLEX,Obj-C,498,11843,2417282,671.4672222,1,92574091,34,2.976276074,34,104,0,0.009615385,-2.017033322,2.697229343,4.073461729,0.473673213,1.531478917,static,weak
fluent-fluentd,Ruby,3695,54098,175072,48.63111111,1,185426300,116,5.961493699,116,327,0,0.003058104,-2.514547749,3.567614443,4.73318121,0.775355089,2.064457989,dynamic,strong
flynn-flynn,Go,7062,428279,607679,168.7997222,2,120505074,114,3.874262924,114,2080,0.301029996,0.000961538,-3.017033548,3.848927713,5.63172678,0.58818909,2.056904851,static,strong
fogleman-Craft,C,750,137063,-1,-0.000277778,1,128362342,12,4.126875707,12,74,0,0.013513514,-1.869231704,2.875061263,5.136920233,0.615621389,1.079181246,static,weak
fogleman-primitive,Go,147,1702,-1,-0.000277778,1,20163530,3,0.648261638,3,18,0,0.055555556,-1.255272502,2.167317335,3.230959556,-0.188249678,0.477121255,static,strong
forkingdog-UITableView-FDTemplateLayoutCell,Obj-C,87,667,-1,-0.000277778,1,64709141,5,2.080412198,5,9,0,0.111111111,-0.95424251,1.939519253,2.824125834,0.318149391,0.698970004,static,weak
freeCodeCamp-freeCodeCamp,JS,10407,44981,472052.5,131.1256944,1,74455841,423,2.393770608,423,77,0,0.012987013,-1.886490725,4.017325555,4.653029106,0.37908253,2.626340367,dynamic,weak
FriendsOfPHP-Goutte,PHP,293,503,-1,-0.000277778,1,222021486,63,7.138036458,63,3,0,0.333333333,-0.477121255,2.46686762,2.701567985,0.853578762,1.799340549,dynamic,weak
FriendsOfPHP-PHP-CS-Fixer,PHP,3294,57564,193150,53.65277778,2,156748657,151,5.039501575,151,507,0.301029996,0.003944773,-2.403977983,3.517723595,4.760150965,0.702387585,2.178976947,dynamic,weak
fxsjy-jieba,Python,489,723708,993333.5,275.9259722,1,144994079,32,4.661589474,32,7,0,0.142857143,-0.84509804,2.689308859,5.859563373,0.668534024,1.505149978,dynamic,strong
fzaninotto-Faker,PHP,2054,81524,6652,1.847777778,1,175266658,308,5.634859118,308,529,0,0.001890359,-2.723455711,3.312600439,4.91128548,0.750883062,2.488550717,dynamic,weak
getgrav-grav,PHP,3506,57154,116124,32.25666667,1,86895050,95,2.793693737,95,172,0,0.005813953,-2.235528483,3.544811912,4.75704663,0.446178794,1.977723605,dynamic,weak
getlantern-lantern,Go,6079,424982,-1,-0.000277778,2,195918451,55,6.298818512,55,1699,0.301029996,0.001177163,-2.929163397,3.783832143,5.628370536,0.799259095,1.740362689,static,strong
getpelican-pelican,Python,2790,9582,7069039.5,1963.622083,1,206643740,300,6.64363876,300,136,0,0.007352941,-2.133538919,3.445604203,3.981456167,0.82240601,2.477121255,dynamic,strong
getsentry-sentry,Python,18207,213634,385732.5,107.1479167,1,210693199,305,6.7738297,305,1499,0,0.000667111,-3.175801898,4.260238392,5.329670372,0.830834274,2.484299839,dynamic,strong
ggreer-the_silver_searcher,C,1854,3479,-1,-0.000277778,1,172166953,165,5.535202964,165,11,0,0.090909091,-1.041392685,3.26810973,3.541454429,0.74313355,2.217483944,static,weak
gin-gonic-gin,Go,781,6413,348611,96.83638889,1,90936155,95,2.923616094,95,5030,0,0.000198807,-3.701568328,2.892651034,3.80706124,0.465920344,1.977723605,static,strong
gitextensions-gitextensions,C#,8350,114456,6330724.5,1758.534583,2,265344061,202,8.530866159,202,749,0.301029996,0.002670227,-2.573451817,3.921686475,5.058638564,0.930993128,2.305351369,static,strong
github-hub,Go,2372,29013,5674173,1576.159167,2,233847875,131,7.518257298,131,246,0.301029996,0.008130081,-2.089905128,3.375114685,4.462592638,0.876117185,2.117271296,static,strong
gizak-termui,Go,230,4193,833617.5,231.5604167,1,70926633,30,2.280305845,30,51,0,0.019607843,-1.707570179,2.361727836,3.622524862,0.3579931,1.477121255,static,strong
gnachman-iTerm2,Obj-C,6569,156193,-1,-0.000277778,2,191762012,98,6.165188143,98,482,0.301029996,0.004149378,-2.382017,3.817499262,5.193661566,0.789946334,1.991226076,static,weak
go-kit-kit,Go,1098,17554,21803.5,6.056527778,1,70977521,90,2.281941905,90,251,0,0.003984064,-2.399673694,3.04060234,4.244376094,0.358304584,1.954242509,static,strong
go-martini-martini,Go,592,3522,64467.5,17.90763889,1,110798753,100,3.562202707,100,12,0,0.083333333,-1.079181248,2.772321707,3.546789352,0.551718629,2,static,strong
godotengine-godot,C++,7103,471483,484336,134.5377778,1,105047664,312,3.377304012,312,1463,0,0.000683527,-3.165244326,3.851441815,5.673466038,0.528570156,2.494154594,static,weak
gogits-gogs,Go,4696,452995,785914.5,218.3095833,1,101728972,335,3.270607382,335,932,0,0.001072961,-2.969416063,3.671728088,5.656093408,0.514628413,2.525044807,static,strong
golang-go,Go,32436,1078039,-1,-0.000277778,2,85476380,421,2.748083205,421,5030,0.301029996,0.000397614,-3.400538332,4.511027292,6.032634473,0.439029878,2.624282096,static,strong
google-agera,Java,156,12843,3329,0.924722222,2,43540622,10,1.399839956,10,137,0.301029996,0.01459854,-1.835690576,2.193124598,4.108666483,0.146078386,1,static,strong
google-brotli,C,869,16316,-1,-0.000277778,3,81033886,33,2.605256109,33,23,0.477121255,0.130434783,-0.88460658,2.939019776,4.212613697,0.415850423,1.51851394,static,weak
google-cadvisor,Go,2098,122410,20131281,5592.0225,2,91567407,128,2.943910976,128,5030,0.301029996,0.000397614,-3.400538332,3.321805484,5.087816898,0.468924673,2.10720997,static,strong
google-ExoPlayer,Java,2628,64471,611869,169.9636111,1,91204842,69,2.932254437,69,504,0,0.001984127,-2.702430533,3.419625361,4.809364407,0.467201652,1.838849091,static,strong
google-flatbuffers,C++,1105,12611,-1,-0.000277778,1,93374819,165,3.002019644,165,27,0,0.037037037,-1.431363765,3.043362278,4.100749526,0.47741353,2.217483944,static,weak
google-google-api-php-client,PHP,1599,6404,2676416,743.4488889,1,117216681,84,3.768540413,84,62,0,0.016129032,-1.792391696,3.203848464,3.806451323,0.576173177,1.924279286,dynamic,weak
google-googletest,C++,980,33052,-1,-0.000277778,3,55803127,49,1.794082015,49,96,0.477121255,0.03125,-1.505149978,2.991226076,4.519197744,0.253842293,1.69019608,static,weak
google-guava,Java,4068,254991,-1,-0.000277778,2,92518603,103,2.974492123,103,1702,0.301029996,0.001175088,-2.929929609,3.609380944,5.406524852,0.473412823,2.012837225,static,strong
google-iosched,Java,679,44917,44888452.5,12469.01458,2,97507160,32,3.134875257,32,463,0.301029996,0.004319654,-2.364551038,2.831869774,4.652410742,0.496220264,1.505149978,static,strong
google-leveldb,C++,136,16530,38583184,10717.55111,6,84724928,17,2.723923868,17,72,0.77815125,0.083333333,-1.079181248,2.133538908,4.218272854,0.435194965,1.230448921,static,weak
google-protobuf,C++,4556,156245,15332724.5,4259.090139,2,84830865,262,2.727329765,262,271,0.301029996,0.007380074,-2.131939283,3.658583715,5.193806128,0.435737652,2.418301291,static,weak
googlei18n-libphonenumber,C++,1384,44415,43197179.5,11999.21653,1,76269463,63,2.452078929,63,48,0,0.020833333,-1.681241244,3.14113609,4.647529666,0.389534445,1.799340549,static,weak
googlesamples-android-UniversalMusicPlayer,Java,182,6283,-1,-0.000277778,3,67953325,13,2.184713381,13,52,0.477121255,0.057692308,-1.238882087,2.260071388,3.79816706,0.339394469,1.113943352,static,strong
gopherjs-gopherjs,Go,1866,15686,267348,74.26333333,2,116256962,33,3.737685249,33,95,0.301029996,0.021052632,-1.676693601,3.270911639,4.195512211,0.572602727,1.51851394,static,strong
grafana-grafana,Go,10236,271222,117523,32.64527778,1,107121604,429,3.44398161,429,1203,0,0.000831255,-3.080265729,4.010130277,5.433324914,0.537060824,2.632457292,static,strong
greenrobot-greenDAO,Java,837,19656,1864898,518.0272222,2,174599086,6,5.613396541,6,244,0.301029996,0.008196721,-2.086359847,2.922725458,4.293495143,0.749225723,0.77815125,static,strong
Grouper-FlatUIKit,Obj-C,283,2261,-1,-0.000277778,2,125848996,53,4.046071116,53,30,0.301029996,0.066666667,-1.176091257,2.451786436,3.354300562,0.607033512,1.72427587,static,weak
grpc-grpc,C,24548,170962,92935,25.81527778,1,75834067,239,2.438080858,239,57,0,0.01754386,-1.755874847,4.390016115,5.23289959,0.387048105,2.378397901,static,weak
guard-guard,Ruby,2320,9160,754177.5,209.49375,2,213132796,142,6.852263246,142,122,0.301029996,0.016393443,-1.785329825,3.365487985,3.961895474,0.835834039,2.152288344,dynamic,strong
guzzle-guzzle,PHP,3066,8234,539815,149.9486111,2,195038155,263,6.270516815,263,65,0.301029996,0.030769231,-1.511883358,3.486572151,3.915610863,0.797303337,2.419955748,dynamic,weak
h2o-h2o,C,3991,111053,22456,6.237777778,1,85665657,72,2.754168499,72,352,0,0.002840909,-2.546542677,3.601081728,5.045530295,0.439990507,1.857332496,static,weak
h5bp-html5-boilerplate,JS,1562,1513,1641990,456.1083333,1,229542996,213,7.379854552,213,11,0,0.090909091,-1.041392685,3.19368103,3.179838928,0.868047802,2.328379603,dynamic,weak
hackiftekhar-IQKeyboardManager,Obj-C,834,18030,523196,145.3322222,2,116468832,43,3.744496914,43,77,0.301029996,0.025974026,-1.585460729,2.921166051,4.255995727,0.573393477,1.633468456,static,weak
haiwen-seafile,C,1923,47822,3888601,1080.166944,1,151823525,51,4.881157568,51,75,0,0.013333333,-1.875061274,3.283979284,4.679627735,0.688522827,1.707570176,static,weak
hakimel-reveal.js,JS,1916,5785,2049602,569.3338889,1,186426338,208,5.993645126,208,26,0,0.038461538,-1.414973353,3.282395505,3.762303363,0.777691025,2.318063335,dynamic,weak
hammerjs-hammer.js,JS,1194,5185,13102189.5,3639.497083,1,163206092,84,5.247109439,84,82,0,0.012195122,-1.913813851,3.077004327,3.714748761,0.719920122,1.924279286,dynamic,weak
HangfireIO-Hangfire,C#,2679,33094,273134,75.87055556,2,118117016,74,3.797486368,74,420,0.301029996,0.004761905,-2.322219273,3.427972714,4.519749263,0.579496224,1.86923172,static,strong
hashicorp-consul,Go,5545,379419,3984200,1106.722222,2,110295873,333,3.546035012,333,1367,0.301029996,0.001463058,-2.834738457,3.74390155,5.579119075,0.549743019,2.522444234,static,strong
hashicorp-packer,Go,7516,423558,2575869,715.5191667,1,129881817,420,4.175727141,420,1904,0,0.00052521,-3.279667014,3.875986771,5.626912889,0.620732112,2.62324929,static,strong
hashicorp-terraform,Go,18394,1921297,500156.5,138.9323611,2,99149652,411,3.187681713,411,7223,0.301029996,0.000276893,-3.557688023,4.264676182,6.283594505,0.503474951,2.613841822,static,strong
hashicorp-vault,Go,5573,634958,409667.5,113.7965278,2,69075841,299,2.220802501,299,2228,0.301029996,0.000897666,-3.046885224,3.746089043,5.802744999,0.346509938,2.475671188,static,strong
hbons-SparkleShare,C#,4374,10377,1622048,450.5688889,1,207864382,137,6.682882652,137,69,0,0.014492754,-1.838849079,3.640878779,4.016071817,0.824963835,2.136720567,static,strong
HelloZeroNet-ZeroNet,Python,1297,29183,528547,146.8186111,6,72875902,60,2.342975244,60,243,0.77815125,0.024691358,-1.607455024,3.112939976,4.465129935,0.3697677,1.77815125,dynamic,strong
home-assistant-home-assistant,Python,9126,121265,308991,85.83083333,1,114496212,430,3.681076775,430,1041,0,0.000960615,-3.017450636,3.960280464,5.083735471,0.565974875,2.633468456,dynamic,strong
Homebrew-legacy-homebrew,Ruby,63882,16656,414111,115.0308333,1,251050883,443,8.071337545,443,151,0,0.006622517,-2.178976918,4.805378504,4.221570712,0.90694551,2.646403726,dynamic,strong
Humanizr-Humanizer,C#,1469,25383,2671303,742.0286111,2,157852695,120,5.074996624,120,17,0.301029996,0.117647059,-0.929418925,3.167021796,4.40454295,0.705435758,2.079181246,static,strong
humhub-humhub,PHP,3586,182345,2522253,700.6258333,1,101888937,82,3.275750289,82,661,0,0.001512859,-2.820201547,3.554610285,5.260893859,0.515310788,1.913813852,dynamic,weak
ibireme-YYKit,Obj-C,299,179744,335580.5,93.21680556,1,128275947,17,4.12409809,17,18,0,0.055555556,-1.255272502,2.475671188,5.254654402,0.615328986,1.230448921,static,weak
ibireme-YYText,Obj-C,155,18310,93815,26.05972222,1,47169967,7,1.516524145,7,56,0,0.017857143,-1.748188024,2.190331698,4.262688344,0.180849329,0.84509804,static,weak
ideawu-ssdb,C++,1062,28924,11333,3.148055556,1,135981653,23,4.371838124,23,28,0,0.035714286,-1.447158028,3.026124517,4.461258353,0.640664073,1.361727836,static,weak
iluwatar-java-design-patterns,Java,1619,23675,208916,58.03222222,4,86296482,77,2.774449653,77,916,0.602059991,0.004366812,-2.359835505,3.209246849,4.374289988,0.443176848,1.886490725,static,strong
imathis-octopress,Ruby,858,1245,1124156,312.2655556,1,237997108,115,7.651655993,115,25,0,0.04,-1.397940009,2.933487288,3.095169351,0.883755437,2.06069784,dynamic,strong
impress-impress.js,JS,282,640,464703,129.0841667,1,168788201,50,5.426575392,50,5,0,0.2,-0.698970004,2.450249108,2.806179974,0.734525841,1.698970004,dynamic,weak
inconshreveable-ngrok,Go,329,3867,32012024.5,8892.229028,1,130126937,24,4.1836078,24,46,0,0.02173913,-1.66275784,2.517195898,3.587374172,0.621550964,1.380211242,static,strong
influxdata-influxdb,Go,11913,115263,629489,174.8580556,2,113693330,262,3.655263953,262,355,0.301029996,0.005633803,-2.249198343,4.076021142,5.061689919,0.562918744,2.418301291,static,strong
Intervention-image,PHP,551,11186,111247.5,30.90208333,1,135291268,57,4.349642104,57,195,0,0.005128205,-2.290034622,2.741151599,4.048674815,0.638453524,1.755874856,dynamic,weak
ipython-ipython,Python,22551,33481,1407148,390.8744444,1,220432434,447,7.08694811,447,334,0,0.002994012,-2.523746463,4.353165805,4.524798421,0.850459253,2.650307523,dynamic,strong
irungentoo-toxcore,C,3770,27423,8251315,2292.031944,1,121866467,169,3.918031989,169,72,0,0.013888889,-1.857332493,3.57634135,4.438114964,0.593067977,2.227886705,static,weak
isocpp-CppCoreGuidelines,Python,1193,13811,-1,-0.000277778,1,53883428,145,1.732363297,145,4,0,0.25,-0.602059991,3.076640444,4.140225125,0.238638974,2.161368002,dynamic,strong
JakeWharton-ActionBarSherlock,Java,1481,25335,402003,111.6675,2,194380266,53,6.249365548,53,158,0.301029996,0.012658228,-1.897627086,3.170555059,4.403720909,0.795835929,1.72427587,static,strong
JakeWharton-butterknife,Java,695,10167,686140,190.5944444,15,131427661,59,4.225426344,59,116,1.176091259,0.129310345,-0.88836673,2.841984805,4.007192824,0.625870536,1.770852012,static,strong
jakubroztocil-httpie,Python,929,4201,1214714,337.4205556,1,163725647,62,5.263813239,62,47,0,0.021276596,-1.672097853,2.968015714,3.623352682,0.721300472,1.792391689,dynamic,strong
JamesNK-Newtonsoft.Json,C#,1471,226662,-1,-0.000277778,5,164348972,54,5.283853266,54,23,0.698970004,0.217391304,-0.662757832,3.167612673,5.355378717,0.722950749,1.73239376,static,strong
jaredpar-VsVim,C#,3435,71615,6148798.5,1707.999583,2,234439260,35,7.537270448,35,381,0.301029996,0.005249344,-2.279894966,3.535926741,4.855003996,0.877214099,1.544068044,static,strong
jashkenas-backbone,JS,3345,19223,236753.5,65.76486111,1,208023512,294,6.687998714,294,22,0,0.045454545,-1.342422685,3.524396122,4.283821166,0.825296181,2.46834733,dynamic,weak
jashkenas-underscore,JS,2388,7809,159323,44.25638889,2,237403734,245,7.632578897,245,15,0.301029996,0.133333333,-0.875061264,3.378034322,3.892595423,0.882671302,2.389166084,dynamic,weak
javan-whenever,Ruby,473,2725,16881582,4689.328333,1,259144812,76,8.331559028,76,33,0,0.03030303,-1.518513944,2.674861141,3.435366507,0.920726276,1.880813592,dynamic,strong
jdg-MBProgressHUD,Obj-C,547,1767,7883626,2189.896111,1,250092859,66,8.040536876,66,8,0,0.125,-0.903089987,2.737987326,3.24723655,0.905285048,1.819543936,static,weak
jekyll-jekyll,Ruby,8962,13329,1611604.5,447.6679167,1,269415057,435,8.661749518,435,144,0,0.006944444,-2.15836252,3.95240494,4.124797568,0.937605621,2.638489257,dynamic,strong
JeremySkinner-FluentValidation,C#,972,16176,4902518,1361.810556,2,232562577,63,7.476934703,63,246,0.301029996,0.008130081,-2.089905128,2.987666265,4.208871138,0.873723588,1.799340549,static,strong
jessesquires-JSQMessagesViewController,Obj-C,1706,6288,643770,178.825,1,132761956,100,4.268324203,100,77,0,0.012987013,-1.886490725,3.231979027,3.798512533,0.630257399,2,static,weak
JetBrains-kotlin,Java,38379,622306,-1,-0.000277778,2,164745002,151,5.296585712,151,29499,0.301029996,6.78E-05,-4.168770306,4.584093655,5.794003988,0.723996005,2.178976947,static,strong
jfeinstein10-SlidingMenu,Java,337,3212,1175224.5,326.45125,2,152865937,21,4.914671328,21,33,0.301029996,0.060606061,-1.217483941,2.527629901,3.506775537,0.691494479,1.322219295,static,strong
jigish-slate,Obj-C,566,11017,170134.5,47.25958333,1,187758225,18,6.036465567,18,70,0,0.014285714,-1.845098049,2.752816431,4.042063349,0.780782728,1.255272505,static,weak
jinzhu-gorm,Go,1250,10536,3406890,946.3583333,2,111209302,111,3.575401942,111,51,0.301029996,0.039215686,-1.406540183,3.096910013,4.022675762,0.553324872,2.045322979,static,strong
joewalnes-websocketd,Go,265,1877,663232,184.2311111,4,133045625,31,4.277444219,31,18,0.602059991,0.222222222,-0.653212514,2.423245874,3.273464273,0.631184355,1.491361694,static,strong
johnezang-JSONKit,Obj-C,70,2290,81529.5,22.64708333,1,213674019,4,6.869663677,4,1,0,1,0,1.84509804,3.359835482,0.836935476,0.602059991,static,weak
jonas-tig,C,2200,14757,17265099,4795.860833,1,257959235,109,8.293442483,109,43,0,0.023255814,-1.633468455,3.342422681,4.168998077,0.918734837,2.037426498,static,weak
jordansissel-fpm,Ruby,1993,7040,4126791.5,1146.330972,2,199813921,200,6.424058674,200,55,0.301029996,0.036363636,-1.439332698,3.299507299,3.847572659,0.807809499,2.301029996,dynamic,strong
jp9000-obs-studio,C,4542,114958,-1,-0.000277778,1,113303969,150,3.642745917,150,655,0,0.001526718,-2.816241174,3.65724713,5.060539199,0.56142888,2.176091259,static,weak
jquery-jquery,JS,6217,43172,3384587.5,940.1631944,1,255127186,261,8.202391525,261,166,0,0.006024096,-2.220108116,3.793580867,4.635202168,0.913940496,2.416640507,dynamic,weak
jsonmodel-jsonmodel,Obj-C,725,3368,1171533.5,325.4259722,2,139430439,56,4.482717303,56,67,0.301029996,0.029850746,-1.525044811,2.860338007,3.527372083,0.651541351,1.748188027,static,weak
junegunn-fzf,Go,1310,9608,25221.5,7.005972222,1,111354937,59,3.580084137,59,52,0,0.019230769,-1.716003349,3.117271296,3.982632994,0.553893233,1.770852012,static,strong
justinwalsh-daux.io,PHP,606,4617,5179594,1438.776111,2,123635862,54,3.974918403,54,92,0.301029996,0.02173913,-1.66275784,2.782472624,3.664359875,0.599328218,1.73239376,dynamic,weak
jverdi-JVFloatLabeledTextField,Obj-C,248,838,-1,-0.000277778,1,113297337,43,3.642532697,43,9,0,0.111111111,-0.95424251,2.394451681,2.923244019,0.561403459,1.633468456,static,weak
kaminari-kaminari,Ruby,1321,2423,13433832.5,3731.620139,2,196919560,119,6.331004372,119,46,0.301029996,0.043478261,-1.361727835,3.120902818,3.384353414,0.801472613,2.075546961,dynamic,strong
kataras-iris,Go,571,524563,-1,-0.000277778,1,39770592,1,1.278632716,1,1412,0,0.000708215,-3.149834879,2.756636108,5.719797654,0.106745812,0,static,strong
KeenSoftwareHouse-SpaceEngineers,C#,403,620662,-1,-0.000277778,1,62370587,34,2.005227206,34,3917,0,0.000255297,-3.592954289,2.605305046,5.792855157,0.302163588,1.531478917,static,strong
kennethreitz-requests,Python,4841,25124,3394730,942.9805556,1,196276903,429,6.310342818,429,105,0,0.00952381,-2.021189277,3.684935083,4.400088785,0.800052954,2.632457292,dynamic,strong
kenwheeler-slick,JS,821,2067,277986,77.21833333,1,98272195,127,3.15947129,127,2,0,0.5,-0.301029996,2.914343157,3.315340477,0.499614413,2.103803721,dynamic,weak
kevinzhow-PNChart,Obj-C,477,3427,-1,-0.000277778,2,110123623,58,3.540497139,58,21,0.301029996,0.095238095,-1.0211893,2.678518379,3.534914104,0.549064248,1.763427994,static,weak
kripken-emscripten,C,16878,455506,3932993,1092.498056,1,196410990,254,6.314653742,254,2404,0,0.000415973,-3.380934858,4.227320983,5.658494102,0.800349541,2.404833717,static,weak
ksoichiro-Android-ObservableScrollView,Java,384,11646,-1,-0.000277778,1,78441280,14,2.521903292,14,147,0,0.006802721,-2.16731734,2.584331224,4.066176786,0.401728429,1.146128036,static,strong
kubernetes-kubernetes,Go,47122,1958917,393935,109.4263889,2,91803836,409,2.951512217,409,8150,0.301029996,0.000245399,-3.610127211,4.673223715,6.292016035,0.470044585,2.611723308,static,strong
labstack-echo,Go,1063,6740,23305.5,6.47375,2,68667419,76,2.20767165,76,76,0.301029996,0.026315789,-1.579783604,3.026533265,3.828659897,0.343934481,1.880813592,static,strong
laravel-framework,PHP,17602,77960,237390.5,65.94180556,1,136045952,429,4.37390535,429,50,0,0.02,-1.698970004,4.245562017,4.89187183,0.640869381,2.632457292,dynamic,weak
laravel-laravel,PHP,5345,916,4022319,1117.310833,1,186396832,403,5.992696502,403,50,0,0.02,-1.698970004,3.72794771,2.961895474,0.777622284,2.605305046,dynamic,weak
Leaflet-Leaflet,JS,6242,69624,2631779.5,731.0498611,1,208724536,414,6.71053678,414,89,0,0.011235955,-1.949390009,3.795323764,4.842758971,0.826757261,2.617000341,dynamic,weak
liaohuqiu-android-Ultra-Pull-To-Refresh,Java,183,5219,-1,-0.000277778,2,78050810,9,2.509349601,9,50,0.301029996,0.04,-1.397940009,2.26245109,3.717587297,0.399561171,0.954242509,static,strong
libgdx-libgdx,Java,12869,259757,858646,238.5127778,1,149271922,380,4.799123007,380,2167,0,0.000461467,-3.33585935,4.109544801,5.41456726,0.681161882,2.579783597,static,strong
libgit2-libgit2,C,10155,149877,805261,223.6836111,2,209763732,300,6.743947145,300,551,0.301029996,0.003629764,-2.440121611,4.006679928,5.175734991,0.828914158,2.477121255,static,weak
libuv-libuv,C,3702,45899,314181,87.2725,1,108127804,255,3.476331147,255,230,0,0.004347826,-2.361727845,3.568436414,4.661803224,0.54112114,2.40654018,static,weak
liuliu-ccv,C,904,124889,12225548,3395.985556,3,209332813,5,6.730093011,5,93,0.477121255,0.032258065,-1.491361687,2.95616843,5.096524188,0.828021066,0.698970004,static,weak
lodash-lodash,JS,7836,5308,8048,2.235555556,2,160127294,231,5.14812545,231,399,0.301029996,0.005012531,-2.299942928,3.894094427,3.724930914,0.711649121,2.36361198,dynamic,weak
loopj-android-async-http,Java,857,7368,-1,-0.000277778,1,195726893,73,6.292659883,73,83,0,0.012048193,-1.919078084,2.932980822,3.867349617,0.798834259,1.86332286,static,strong
MacDownApp-macdown,Obj-C,859,6155,541902,150.5283333,1,90473574,38,2.90874402,38,39,0,0.025641026,-1.591064601,2.933993164,3.789228057,0.463705503,1.579783597,static,weak
magento-magento2,PHP,52493,1314420,4239320,1177.588889,6,171232187,309,5.505150045,309,19667,0.77815125,0.00030508,-3.515586262,4.720101394,6.118734159,0.74076916,2.489958479,dynamic,weak
magicalpanda-MagicalRecord,Obj-C,1022,6170,2280013,633.3369444,1,213624102,80,6.868058835,80,95,0,0.010526316,-1.977723597,3.009450896,3.790285164,0.836834007,1.903089987,static,weak
mailpile-Mailpile,Python,5336,35077,5369597,1491.554722,1,173880878,123,5.590306006,123,132,0,0.007575758,-2.120573907,3.727215821,4.545022443,0.747435581,2.089905111,dynamic,strong
mame-quine-relay,Ruby,338,3240,-1,-0.000277778,1,120004240,12,3.858161008,12,25,0,0.04,-1.397940009,2.5289167,3.51054501,0.586380348,1.079181246,dynamic,strong
Mantle-Mantle,Obj-C,1204,3337,1205489,334.8580556,2,147072901,62,4.728424029,62,31,0.301029996,0.064516129,-1.190331698,3.080626487,3.523356207,0.674716416,1.792391689,static,weak
marcuswestin-WebViewJavascriptBridge,Obj-C,443,1028,-1,-0.000277778,1,179400873,50,5.767774981,50,16,0,0.0625,-1.204119983,2.646403726,3.011993115,0.761008309,1.698970004,static,weak
matryer-bitbar,Obj-C,641,1685,308160,85.6,2,109522788,56,3.52118017,56,11,0.301029996,0.181818182,-0.740362689,2.80685803,3.226599905,0.546688247,1.748188027,static,weak
matz-streem,C,930,8930,-1,-0.000277778,1,75613930,27,2.431003408,27,29,0,0.034482759,-1.462397993,2.968482949,3.950851459,0.385785568,1.431363764,static,weak
memcached-memcached,C,1315,12402,-1,-0.000277778,1,253283135,104,8.143104906,104,22,0,0.045454545,-1.342422685,3.118925753,4.093491727,0.91079003,2.017033339,static,weak
meteor-meteor,JS,18664,186241,2767181.5,768.6615278,2,166960903,345,5.367827386,345,1001,0.301029996,0.001998002,-2.699404081,4.271004726,5.270075295,0.729798542,2.537819095,dynamic,weak
mholt-caddy,Go,1829,27340,336058.5,93.34958333,2,72720897,149,2.337991802,149,206,0.301029996,0.009708738,-2.012837219,3.262213705,4.43679851,0.368842984,2.173186268,static,strong
micropython-micropython,C,7770,250712,394014.5,109.4484722,1,106359173,157,3.419469297,157,585,0,0.001709402,-2.767155792,3.890421019,5.399175121,0.533958709,2.195899652,static,weak
Microsoft-BotBuilder,C#,1868,41696,1051709,292.1413889,4,36850377,74,1.184747203,74,460,0.602059991,0.008695652,-2.060697849,3.271376872,4.620094394,0.073625692,1.86923172,static,strong
Microsoft-CNTK,C++,13585,85640,2145619,596.0052778,1,45367674,125,1.458580054,125,266,0,0.003759398,-2.424881694,4.133059643,4.932676659,0.16393027,2.096910013,static,weak
Microsoft-msbuild,C#,2381,430750,1558941.5,433.0393056,2,67773314,88,2.17892599,88,1531,0.301029996,0.001306336,-2.883945105,3.376759395,5.634225286,0.338242479,1.944482672,static,strong
Microsoft-react-native-windows,C#,751,37777,184896,51.36,2,43760586,39,1.406911844,39,403,0.301029996,0.004962779,-2.304275064,2.875639937,4.577227466,0.148266886,1.591064607,static,strong
middleman-middleman,Ruby,3186,13069,3422770.5,950.7695833,1,245168329,163,7.882212224,163,101,0,0.00990099,-2.004321378,3.503245771,4.116242358,0.896648124,2.212187604,dynamic,strong
mikepenz-MaterialDrawer,Java,1713,8590,55329,15.36916667,1,71173370,66,2.28823849,66,83,0,0.012048193,-1.919078084,3.233757363,3.933993164,0.359501287,1.819543936,static,strong
miloyip-rapidjson,C++,1899,11917,117924,32.75666667,1,99986783,77,3.214595647,77,47,0,0.021276596,-1.672097853,3.278524965,4.076166939,0.507126352,1.886490725,static,weak
minio-minio,Go,4137,271808,-1,-0.000277778,2,72635762,67,2.335254694,67,1137,0.301029996,0.001759015,-2.754730457,3.616685521,5.434262235,0.368334254,1.826074803,static,strong
mislav-will_paginate,Ruby,649,2889,19419261.5,5394.239306,1,289928300,48,9.321254501,48,49,0,0.020408163,-1.690196086,2.812244697,3.460747542,0.969474366,1.681241237,dynamic,strong
mitchellh-vagrant,Ruby,9812,60374,5548811,1541.336389,1,229836333,406,7.389285397,406,1040,0,0.000961538,-3.017033548,3.99175754,4.78084995,0.868602441,2.608526034,dynamic,strong
mitmproxy-mitmproxy,Python,6466,38759,459583.5,127.6620833,1,227605787,183,7.317572885,183,27,0,0.037037037,-1.431363765,3.8106357,4.588372564,0.864367057,2.26245109,dynamic,strong
mobile-shell-mosh,C++,1271,8236,488939.5,135.8165278,2,199333138,53,6.408601402,53,40,0.301029996,0.05,-1.301029996,3.104145551,3.915716338,0.80676326,1.72427587,static,weak
